New England,Mid Atlantic,Southeast,Gulf Apalachee Bay,Gulf Choctawhatchee Bay,Abaco & Grand Bahamas,Andros Island,"Long Island, Bahamas",Middle Caicos,Vieques PR,Yucatan,Lighthouse Reef Belize,Cay Sal
1993,2012,1989,1992,1932,2013,1958,2014,2018,1989,2016,1996,2005
1960,1979,1954,1965,1898,2004,1923,2010,1955,1928,2009,1992,1992
1954,1959,1430,1946,1890,1998,1800,1941,1929,1899,2004,1987,1980
1938,1933,1212,1914,1596,1986,1779,1936,1918,1825,1994,1979,1950
1815,1928,1023,1879,1164,1937,1750,1932,1896,1797,1989,1973,1935
1716,1893,,1859,1082,1931,1730,1879,1883,1786,1981,1969,1929
1678,1822,,1856,1027,1914,1724,1847,1862,1769,1959,1961,1925
1636,1794,,1847,999,1905,1711,1840,1850,1748,1956,1948,1921
1586,1781,,1821,970,1864,1698,1833,1846,1428,1932,1945,1910
1555,1679,,1782,948,1848,1684,1827,1841,944,1919,1943,1897
1540,1350,,1774,923,1833,1672,1815,1827,913,1911,1940,1888
1538,1190,,1754,901,1824,1646,1811,1787,711,1910,1937,1887
1516,999,,1717,880,1812,1629,1800,1780,619,1903,1936,1886
1488,649,,1677,229,1803,1618,1792,1776,418,1881,1924,1882
1457,398,,1636,206,1773,1602,1787,1765,198,1849,1888,1881
1429,213,,1613,182,1756,1594,1767,1753,,1834,1862,1876
1424,111,,1591,28,1701,1537,1654,1750,,1800,1835,1874
1391,,,1556,8,1698,1498,1639,1740,,1761,1811,1873
1264,,,1517,,1683,1468,1636,1738,,1744,1781,1862
1186,,,1490,,1668,1448,1632,1731,,1732,1762,1859
1123,,,1477,,1655,1433,1619,1717,,1720,1715,1858
1094,,,1467,,1624,1428,1617,1711,,1686,1715,1856
1082,,,1461,,1618,1422,1604,1681,,1658,1713,1856
1048,,,1457,,1609,1407,1580,1664,,1630,1699,1855
1036,,,1426,,1603,1402,1528,1645,,1607,1682,1851
958,,,1388,,1601,1395,1516,1635,,1593,1672,1851
937,,,1355,,1594,1378,1510,1611,,1563,1668,1843
842,,,1307,,1574,1345,1495,1604,,1526,1660,1843
820,,,1273,,1563,1322,1489,1601,,1501,1649,1840
794,,,1264,,1561,1307,1478,1598,,1462,1615,1827
763,,,1257,,1553,1298,1471,1594,,1444,1596,1825
725,,,1225,,1547,1288,1446,1551,,1435,1591,1824
643,,,1201,,1544,1276,1436,1548,,1430,1562,1819
599,,,1176,,1531,1239,1423,1533,,1425,1555,1817
564,,,1165,,1508,1211,1407,1514,,1417,1537,1816
537,,,1154,,1494,1194,1400,1444,,1387,1534,1815
519,,,1141,,1478,1178,1397,1397,,1373,1530,1814
484,,,1101,,1465,1159,1392,1367,,1368,1529,1810
474,,,1083,,1462,1131,1374,1363,,1357,1512,1806
414,,,1046,,1454,1072,1366,1327,,1347,1480,1804
412,,,1037,,1425,1024,1326,1299,,1336,1470,1803
402,,,1012,,1425,1009,1298,1259,,1325,1468,1799
364,,,996,,1418,985,1292,1218,,1308,1459,1798
310,,,977,,1408,979,1265,1204,,1295,1448,1791
271,,,962,,1396,972,1257,1169,,1262,1446,1790
261,,,931,,1383,968,1241,1143,,1257,1420,1785
206,,,908,,1334,954,1239,1135,,1244,1415,1785
184,,,894,,1327,892,1227,1119,,1231,1401,1781
82,,,881,,610,839,1207,1108,,1218,1394,1780
39,,,862,,501,829,1160,1091,,1205,1378,1775
32,,,847,,447,798,1149,1081,,1187,1369,1774
,,,830,,406,766,1140,1064,,1179,1362,1757
,,,803,,353,758,1121,1060,,1166,1360,1756
,,,774,,270,753,1113,1046,,1151,1356,1751
,,,758,,184,728,1090,1023,,1138,1355,1750
,,,738,,127,716,1070,1007,,1108,1354,1746
,,,705,,21,707,1061,992,,1089,1352,1737
,,,676,,,688,1030,982,,1078,1342,1731
,,,659,,,679,1024,958,,1062,1340,1726
,,,635,,,655,1014,932,,1047,1333,1725
,,,602,,,604,997,893,,1038,1332,1719
,,,555,,,535,981,828,,1024,1325,1718
,,,536,,,522,,810,,1006,1323,1712
,,,512,,,500,,760,,986,1322,1707
,,,480,,,496,,754,,977,1307,1702
,,,458,,,,,740,,965,1305,1701
,,,416,,,,,723,,949,1304,1678
,,,388,,,,,715,,937,1298,1674
,,,353,,,,,709,,929,1294,1674
,,,324,,,,,703,,911,1293,1666
,,,305,,,,,693,,901,1292,1664
,,,290,,,,,623,,875,1288,1650
,,,260,,,,,601,,856,1283,1637
,,,246,,,,,503,,842,1280,1620
,,,216,,,,,,,819,1276,1619
,,,201,,,,,,,812,1272,1618
,,,178,,,,,,,803,1266,1617
,,,163,,,,,,,790,1246,1614
,,,149,,,,,,,784,1245,1613
,,,134,,,,,,,778,1238,1608
,,,119,,,,,,,768,1229,1608
,,,44,,,,,,,763,1223,1607
,,,21,,,,,,,751,1219,1605
,,,,,,,,,,738,1214,1597
,,,,,,,,,,732,1213,1593
,,,,,,,,,,717,1211,1589
,,,,,,,,,,700,1209,1589
,,,,,,,,,,687,1190,1587
,,,,,,,,,,676,1187,1578
,,,,,,,,,,670,1187,1577
,,,,,,,,,,643,1175,1572
,,,,,,,,,,633,1174,1564
,,,,,,,,,,611,1171,1549
,,,,,,,,,,567,1164,1542
,,,,,,,,,,541,1154,1531
,,,,,,,,,,502,1147,1525
,,,,,,,,,,480,1141,1524
,,,,,,,,,,470,1137,1522
,,,,,,,,,,443,1124,1521
,,,,,,,,,,417,1122,1519
,,,,,,,,,,397,1117,1519
,,,,,,,,,,356,1101,1517
,,,,,,,,,,347,1100,1513
,,,,,,,,,,299,1092,1512
,,,,,,,,,,279,1085,1507
,,,,,,,,,,270,1071,1506
,,,,,,,,,,263,1061,1505
,,,,,,,,,,254,1055,1504
,,,,,,,,,,247,1050,1495
,,,,,,,,,,223,1039,1494
,,,,,,,,,,200,1034,
,,,,,,,,,,187,1033,
,,,,,,,,,,175,1030,
,,,,,,,,,,159,1029,
,,,,,,,,,,133,1021,
,,,,,,,,,,97,1017,
,,,,,,,,,,61,1012,
,,,,,,,,,,48,1000,
,,,,,,,,,,32,989,
,,,,,,,,,,26,985,
,,,,,,,,,,16,984,
,,,,,,,,,,14,982,
,,,,,,,,,,,975,
,,,,,,,,,,,973,
,,,,,,,,,,,968,
,,,,,,,,,,,966,
,,,,,,,,,,,959,
,,,,,,,,,,,952,
,,,,,,,,,,,950,
,,,,,,,,,,,945,
,,,,,,,,,,,942,
,,,,,,,,,,,939,
,,,,,,,,,,,938,
,,,,,,,,,,,936,
,,,,,,,,,,,934,
,,,,,,,,,,,932,
,,,,,,,,,,,921,
,,,,,,,,,,,920,
,,,,,,,,,,,917,
,,,,,,,,,,,912,
,,,,,,,,,,,909,
,,,,,,,,,,,902,
,,,,,,,,,,,895,
,,,,,,,,,,,894,
,,,,,,,,,,,891,
,,,,,,,,,,,888,
,,,,,,,,,,,886,
,,,,,,,,,,,876,
,,,,,,,,,,,854,
,,,,,,,,,,,845,
,,,,,,,,,,,838,
,,,,,,,,,,,822,
,,,,,,,,,,,821,
,,,,,,,,,,,802,
,,,,,,,,,,,801,
,,,,,,,,,,,794,
,,,,,,,,,,,789,
,,,,,,,,,,,749,
